customer_id,churn_flag,churn_month,churn_reason
RT-000001,0,,unknown
RT-000002,1,23.0,quality
RT-000003,0,,unknown
RT-000004,0,,unknown
RT-000005,0,,unknown
RT-000006,0,,unknown
RT-000007,0,,unknown
RT-000008,0,,unknown
RT-000009,0,,unknown
RT-000010,1,22.0,price
RT-000011,0,,unknown
RT-000012,0,,unknown
RT-000013,0,,unknown
RT-000014,0,,unknown
RT-000015,0,,unknown
RT-000016,0,,unknown
RT-000017,0,,unknown
RT-000018,0,,unknown
RT-000019,0,,unknown
RT-000020,0,,unknown
RT-000021,1,24.0,tech_migration
RT-000022,0,,unknown
RT-000023,0,,unknown
RT-000024,0,,unknown
RT-000025,0,,unknown
RT-000026,0,,unknown
RT-000027,0,,unknown
RT-000028,1,23.0,unknown
RT-000029,0,,unknown
RT-000030,0,,unknown
RT-000031,0,,unknown
RT-000032,0,,unknown
RT-000033,0,,unknown
RT-000034,0,,unknown
RT-000035,0,,unknown
RT-000036,1,24.0,quality
RT-000037,1,20.0,quality
RT-000038,0,,unknown
RT-000039,0,,unknown
RT-000040,0,,unknown
RT-000041,0,,unknown
RT-000042,0,,unknown
RT-000043,0,,unknown
RT-000044,0,,unknown
RT-000045,0,,unknown
RT-000046,0,,unknown
RT-000047,0,,unknown
RT-000048,0,,unknown
RT-000049,1,22.0,tech_migration
RT-000050,0,,unknown
RT-000051,0,,unknown
RT-000052,0,,unknown
RT-000053,0,,unknown
RT-000054,0,,unknown
RT-000055,0,,unknown
RT-000056,0,,unknown
RT-000057,0,,unknown
RT-000058,1,24.0,tech_migration
RT-000059,0,,unknown
RT-000060,0,,unknown
RT-000061,0,,unknown
RT-000062,0,,unknown
RT-000063,0,,unknown
RT-000064,0,,unknown
RT-000065,0,,unknown
RT-000066,0,,unknown
RT-000067,1,19.0,tech_migration
RT-000068,0,,unknown
RT-000069,1,24.0,price
RT-000070,0,,unknown
RT-000071,0,,unknown
RT-000072,0,,unknown
RT-000073,1,24.0,price
RT-000074,0,,unknown
RT-000075,1,24.0,unknown
RT-000076,0,,unknown
RT-000077,0,,unknown
RT-000078,0,,unknown
RT-000079,0,,unknown
RT-000080,0,,unknown
RT-000081,0,,unknown
RT-000082,0,,unknown
RT-000083,0,,unknown
RT-000084,0,,unknown
RT-000085,0,,unknown
RT-000086,0,,unknown
RT-000087,0,,unknown
RT-000088,0,,unknown
RT-000089,0,,unknown
RT-000090,1,24.0,competitor
RT-000091,0,,unknown
RT-000092,0,,unknown
RT-000093,0,,unknown
RT-000094,0,,unknown
RT-000095,0,,unknown
RT-000096,1,22.0,tech_migration
RT-000097,0,,unknown
RT-000098,0,,unknown
RT-000099,0,,unknown
RT-000100,0,,unknown
RT-000101,1,21.0,unknown
RT-000102,0,,unknown
RT-000103,0,,unknown
RT-000104,0,,unknown
RT-000105,0,,unknown
RT-000106,0,,unknown
RT-000107,0,,unknown
RT-000108,0,,unknown
RT-000109,0,,unknown
RT-000110,0,,unknown
RT-000111,0,,unknown
RT-000112,0,,unknown
RT-000113,0,,unknown
RT-000114,0,,unknown
RT-000115,0,,unknown
RT-000116,0,,unknown
RT-000117,0,,unknown
RT-000118,0,,unknown
RT-000119,0,,unknown
RT-000120,0,,unknown
RT-000121,0,,unknown
RT-000122,0,,unknown
RT-000123,0,,unknown
RT-000124,0,,unknown
RT-000125,0,,unknown
RT-000126,0,,unknown
RT-000127,0,,unknown
RT-000128,0,,unknown
RT-000129,0,,unknown
RT-000130,0,,unknown
RT-000131,0,,unknown
RT-000132,0,,unknown
RT-000133,0,,unknown
RT-000134,0,,unknown
RT-000135,1,19.0,unknown
RT-000136,0,,unknown
RT-000137,0,,unknown
RT-000138,0,,unknown
RT-000139,0,,unknown
RT-000140,0,,unknown
RT-000141,0,,unknown
RT-000142,0,,unknown
RT-000143,0,,unknown
RT-000144,0,,unknown
RT-000145,0,,unknown
RT-000146,0,,unknown
RT-000147,0,,unknown
RT-000148,0,,unknown
RT-000149,0,,unknown
RT-000150,0,,unknown
RT-000151,0,,unknown
RT-000152,0,,unknown
RT-000153,0,,unknown
RT-000154,0,,unknown
RT-000155,0,,unknown
RT-000156,0,,unknown
RT-000157,0,,unknown
RT-000158,0,,unknown
RT-000159,0,,unknown
RT-000160,0,,unknown
RT-000161,1,24.0,unknown
RT-000162,0,,unknown
RT-000163,0,,unknown
RT-000164,0,,unknown
RT-000165,0,,unknown
RT-000166,0,,unknown
RT-000167,0,,unknown
