customer_id,business_line,region,competition_index,tenure_months,contract_type,payment_method,tech_type,n_products,has_mobile,has_broadband,has_iptv,has_pbx,days_to_contract_end
RT-000001,broadband,Moscow,0.297,18,two_year,card,fiber,2,False,True,False,False,190
RT-000002,mobile,North-West,0.647,30,monthly,auto,n/a,2,True,True,False,False,30
RT-000003,iptv,Siberia,0.334,7,monthly,auto,n/a,2,False,False,True,False,30
RT-000004,broadband,Volga,0.205,17,two_year,auto,fiber,1,False,True,False,False,220
RT-000005,mobile,Saint-Petersburg,0.815,17,annual,card,n/a,2,True,True,False,False,220
RT-000006,fixed_voice,North-Caucasus,0.27,22,annual,auto,fiber,1,False,False,False,False,70
RT-000007,broadband,Saint-Petersburg,0.899,55,monthly,invoice,copper,4,True,True,False,True,30
RT-000008,broadband,Moscow,0.723,34,two_year,card,copper,1,False,True,False,False,440
RT-000009,mobile,North-West,0.359,22,monthly,invoice,n/a,1,True,False,False,False,30
RT-000010,mobile,Saint-Petersburg,0.688,38,monthly,invoice,n/a,2,True,True,False,False,30
RT-000011,mobile,Southern,0.379,34,monthly,auto,n/a,3,True,True,True,False,30
RT-000012,fixed_voice,Volga,0.318,23,monthly,invoice,fiber,1,False,False,False,False,30
RT-000013,broadband,North-Caucasus,0.373,25,annual,auto,fiber,2,False,True,False,False,345
RT-000014,iptv,Saint-Petersburg,0.502,30,annual,card,n/a,2,False,False,True,False,195
RT-000015,mobile,Central,0.532,34,monthly,auto,n/a,4,True,False,False,False,30
RT-000016,mobile,Urals,0.347,19,two_year,card,n/a,2,True,True,False,False,160
RT-000017,broadband,Urals,0.578,34,monthly,auto,copper,2,False,True,False,False,30
RT-000018,mobile,North-West,0.095,12,annual,card,n/a,2,True,True,False,False,5
RT-000019,iptv,North-Caucasus,0.427,16,annual,auto,n/a,2,False,True,True,False,250
RT-000020,broadband,Far-East,0.647,16,monthly,auto,fiber,4,False,True,False,False,30
RT-000021,broadband,Urals,0.385,11,monthly,card,xdsl,3,False,True,False,False,30
RT-000022,mobile,Siberia,0.688,25,two_year,card,n/a,1,True,False,False,False,710
RT-000023,fixed_voice,Southern,0.835,48,monthly,auto,fiber,3,True,True,False,False,30
RT-000024,iptv,Volga,0.894,52,annual,auto,n/a,2,False,True,True,False,265
RT-000025,broadband,Southern,0.421,10,two_year,auto,fiber,3,True,True,True,False,430
