customer_id,business_line,region,competition_index,tenure_months,contract_type,payment_method,tech_type,n_products,has_mobile,has_broadband,has_iptv,has_pbx,days_to_contract_end,churn_flag,churn_month,usage_mean_6m,usage_last3m,usage_prior3m,tickets_6m,unresolved_6m,tickets_12m,bill_mean_6m,bill_std_6m,bill_last,bill_first,late_payments_6m,outage_mean_6m,promo_months,usage_decline_3m,bill_increase_pct
RT-000001,broadband,Moscow,0.297,18,two_year,card,fiber,2,False,True,False,False,190,0,,51.324444444444445,42.60666666666666,59.22333333333333,2,0,4,443.1877777777778,84.84537337419488,559.9,411.88,0,2.0922222222222224,5,0.28057634941183096,0.3593765174322618
RT-000002,mobile,North-West,0.647,30,monthly,auto,n/a,2,True,True,False,False,30,1,23.0,56.69888888888889,39.123333333333335,61.78,3,0,7,552.3661111111111,136.25165653127428,638.22,536.68,1,1.228125,2,0.3667314125391173,0.18920026831631528
RT-000003,iptv,Siberia,0.334,7,monthly,auto,n/a,2,False,False,True,False,30,0,,54.82555555555555,61.926666666666655,64.02666666666667,0,0,1,296.40944444444443,83.54105320296985,364.85,312.13,1,1.6911111111111112,1,0.03279883381924222,0.16890398231506112
RT-000004,broadband,Volga,0.205,17,two_year,auto,fiber,1,False,True,False,False,220,0,,52.986111111111114,41.36333333333334,79.62666666666667,3,1,6,462.7144444444445,133.47060470478675,667.61,715.96,0,1.3311764705882352,1,0.48053415941058264,-0.0675317056818817
RT-000005,mobile,Saint-Petersburg,0.815,17,annual,card,n/a,2,True,True,False,False,220,0,,27.962777777777777,21.63,17.093333333333334,0,0,1,324.1455555555556,76.7679362618828,176.05,415.8,1,1.86625,1,0.0,-0.5
RT-000006,fixed_voice,North-Caucasus,0.27,22,annual,auto,fiber,1,False,False,False,False,70,0,,60.263888888888886,51.24,53.95666666666667,1,0,2,288.6711111111111,76.42423259742014,287.46,156.86,0,1.5770588235294116,0,0.0503490455303639,0.8325895703174803
RT-000007,broadband,Saint-Petersburg,0.899,55,monthly,invoice,copper,4,True,True,False,True,30,0,,44.80833333333333,27.439999999999998,36.31333333333333,1,0,2,455.5288888888889,108.57553509986596,407.85,462.7,0,2.6766666666666667,2,0.2443546906554067,-0.11854333261292407
RT-000008,broadband,Moscow,0.723,34,two_year,card,copper,1,False,True,False,False,440,0,,57.25888888888889,73.32666666666667,34.733333333333334,1,0,1,435.75777777777773,135.64997185904417,332.15,310.55,2,2.24125,2,0.0,0.06955401706649482
RT-000009,mobile,North-West,0.359,22,monthly,invoice,n/a,1,True,False,False,False,30,0,,28.072222222222223,40.68,28.076666666666668,2,0,6,263.1538888888889,92.30361379318279,89.38,317.58,0,1.2444444444444445,3,0.0,-0.5
RT-000010,mobile,Saint-Petersburg,0.688,38,monthly,invoice,n/a,2,True,True,False,False,30,1,22.0,42.87944444444444,28.08,41.56333333333333,1,0,4,422.25444444444446,87.31005677686325,538.15,306.27,0,1.6928571428571428,3,0.3244045232175796,0.7571097397720965
